delta_1,delta_2,Treshold,Error
1.0,0.035,10.24,0.03125
1.0,0.03,8.870000000000001,0.53125
0.8657142857142857,0.035,9.655,0.078125
0.8657142857142857,0.03,9.715,0.5078125
0.7314285714285715,0.035,8.17,0.0234375
0.7314285714285715,0.03,4.94,0.4921875
0.5971428571428572,0.035,8.26,0.015625
0.5971428571428572,0.03,0.0,0.53125
0.46285714285714286,0.035,8.575000000000001,0.0234375
0.46285714285714286,0.03,4.47,0.53125
0.32857142857142857,0.035,7.885,0.046875
0.32857142857142857,0.03,0.6,0.5625
0.19428571428571428,0.035,7.485,0.0234375
0.19428571428571428,0.03,0.0,0.546875
0.06,0.035,2.205,0.4921875
0.06,0.03,1.23,0.4921875
