RTT,Label
13.841,1
12.266,1
12.211,1
12.106,1
19.353,1
4.962,0
0.789,0
0.576,0
11.036,1
4.759,0
14.079,1
14.001,1
5.211,0
0.625,0
12.160,1
5.233,0
13.910,1
5.980,0
13.211,1
12.109,1
16.673,1
4.957,0
0.742,0
0.731,0
12.344,1
11.686,1
11.530,1
13.446,1
14.526,1
4.964,0
12.553,1
4.616,0
12.191,1
12.864,1
4.702,0
11.510,1
4.843,0
0.698,0
0.729,0
13.279,1
11.588,1
13.508,1
5.131,0
0.686,0
0.707,0
14.246,1
12.837,1
13.388,1
9.695,1
10.004,1
18.495,1
12.614,1
4.916,0
0.770,0
12.631,1
4.862,0
12.802,1
11.174,1
18.490,1
12.051,1
5.009,0
13.036,1
5.024,0
12.867,1
12.362,1
11.284,1
11.313,1
5.358,0
12.126,1
4.601,0
13.344,1
11.074,1
12.169,1
17.781,1
11.780,1
5.203,0
0.717,0
13.398,1
4.702,0
12.466,1
11.965,1
13.620,1
4.938,0
0.828,0
0.713,0
0.695,0
12.960,1
14.392,1
19.902,1
4.662,0
12.575,1
13.135,1
5.212,0
0.715,0
13.244,1
11.839,1
12.613,1
13.458,1
14.805,1
12.597,1
4.466,0
12.667,1
11.340,1
5.217,0
12.732,1
4.945,0
18.198,1
13.794,1
3.897,0
10.140,1
5.425,0
11.894,1
12.650,1
15.258,1
13.007,1
5.267,0
13.386,1
12.359,1
12.122,1
4.873,0
12.709,1
12.699,1
5.235,0
11.915,1
11.567,1
5.091,0
0.730,0
13.307,1
12.767,1
11.799,1
5.065,0
0.722,0
0.702,0
0.697,0
0.706,0
12.626,1
15.234,1
11.979,1
4.967,0
0.697,0
15.093,1
5.331,0
0.689,0
11.675,1
16.484,1
13.517,1
5.060,0
0.706,0
0.697,0
12.786,1
4.818,0
14.127,1
11.848,1
11.769,1
11.376,1
4.697,0
0.691,0
17.956,1
5.460,0
11.564,1
17.896,1
13.732,1
8.689,0
12.123,1
10.238,1
4.697,0
0.698,0
0.714,0
11.292,1
12.027,1
5.145,0
0.707,0
0.737,0
11.535,1
5.103,0
0.728,0
11.271,1
5.576,0
22.902,1
12.799,1
4.967,0
11.407,1
11.345,1
5.072,0
12.131,1
12.067,1
11.682,1
11.073,1
4.912,0
0.698,0
0.731,0
0.723,0
12.696,1
5.010,0
10.892,1
12.477,1
5.236,0
0.724,0
9.726,1
12.389,1
11.415,1
12.852,1
11.990,1
5.233,0
0.691,0
0.711,0
0.595,0
11.857,1
12.225,1
12.722,1
12.278,1
5.170,0
0.708,0
17.759,1
11.506,1
4.971,0
12.140,1
4.815,1
0.703,0
0.707,0
0.689,0
11.188,1
