RTT,Label
0.719,1
11.687,1
8.100,0
0.693,0
0.727,0
12.435,0
22.387,1
16.759,0
4.981,0
5.282,0
21.599,1
15.928,0
21.895,1
22.252,1
9.841,0
14.755,1
12.748,0
0.718,0
4.717,0
0.672,0
0.628,0
20.599,1
15.303,0
6.751,0
21.561,1
5.797,0
6.732,0
0.676,0
17.421,1
23.033,1
5.985,0
0.563,0
21.695,1
22.737,1
5.382,0
21.482,1
6.279,0
16.063,1
16.879,1
20.516,1
4.654,0
0.692,0
19.106,1
21.894,1
6.324,0
0.656,0
0.690,0
19.424,1
16.631,1
17.496,1
5.960,0
0.697,0
0.717,0
16.451,1
22.098,1
22.287,1
5.145,0
12.073,0
0.670,0
16.127,1
21.383,1
18.320,1
22.993,1
5.151,0
0.727,0
0.644,0
0.702,0
15.943,1
14.515,1
7.767,0
18.139,1
7.331,0
0.702,0
0.707,0
19.256,1
6.950,0
22.714,1
6.876,0
17.140,1
6.442,0
5.203,0
19.571,1
8.565,0
0.578,0
20.776,1
6.873,0
19.921,1
7.420,0
20.944,1
5.417,0
0.760,0
0.715,0
19.896,1
5.564,0
14.288,1
12.212,1
19.819,0
0.645,0
0.709,0
0.709,0
21.279,1
18.676,1
18.675,1
9.099,0
0.765,0
0.783,0
0.595,0
21.417,1
20.047,1
6.160,0
10.024,0
7.405,0
17.996,1
21.510,1
10.956,0
0.729,0
0.654,0
14.756,1
13.059,1
19.379,1
10.473,0
0.602,0
15.899,1
6.774,0
21.061,1
3.977,0
17.237,1
14.923,1
5.537,0
18.790,1
8.076,0
20.051,1
20.739,1
19.741,1
5.701,0
4.897,0
12.030,0
21.627,1
17.701,1
6.418,0
0.676,0
0.728,0
18.400,1
17.752,1
4.941,0
17.339,1
16.105,1
13.249,0
0.701,0
0.704,0
0.727,0
13.130,1
19.838,1
6.082,0
0.690,0
15.106,1
8.767,0
15.337,1
15.815,0
15.530,1
4.510,0
0.698,0
16.224,1
6.250,0
7.232,0
0.714,0
0.641,0
6.932,0
8.604,0
17.947,1
20.504,1
17.791,1
11.069,0
0.697,0
0.478,0
15.603,1
21.136,1
6.475,0
0.964,0
0.699,0
0.608,0
17.322,1
5.374,0
15.805,1
20.903,1
5.020,0
18.582,1
17.940,1
7.120,0
15.160,1
8.351,0
12.360,1
18.240,1
12.852,1
18.458,1
4.930,0
0.662,0
0.704,0
0.747,0
15.345,1
15.976,1
5.627,0
0.697,0
0.702,0
19.129,1
8.395,0
16.991,1
19.956,1
19.243,1
22.152,1
8.811,0
0.712,0
5.313,0
17.086,1
17.731,1
6.139,0
17.384,1
17.928,1
5.265,0
19.891,1
20.572,1
18.744,1
4.349,0
15.541,1
15.122,1
6.106,0
21.562,1
17.881,1
19.107,1
8.945,0
14.889,1
10.137,0
0.692,0
19.022,1
23.023,1
12.930,1
17.238,1
7.039,0
14.149,1
5.213,0
17.079,1
21.926,1
18.111,1
14.564,1
20.310,1
9.998,0
16.917,1
10.945,0
16.222,1
10.188,1
9.616,0
0.734,0
0.611,0
16.370,1
6.230,0
17.791,1
14.981,1
18.551,1
6.109,0
0.700,0
0.683,0
0.736,0
15.230,1
5.489,0
20.106,1
19.525,1
6.212,0
0.722,0
14.300,1
16.617,1
6.788,0
16.433,1
19.874,1
16.684,1
16.308,1
7.066,0
5.287,0
15.887,1
18.028,1
16.435,1
4.931,0
17.345,1
5.390,0
0.813,0
16.733,1
20.760,1
5.924,0
17.357,1
9.226,0
0.590,0
14.505,1
13.014,1
13.723,1
9.241,0
0.665,0
0.687,0
0.927,0
20.102,1
4.423,0
16.556,1
16.240,1
12.610,0
0.725,0
0.563,0
16.547,1
15.541,1
13.532,1
4.910,0
15.628,1
4.678,0
1.028,0
13.656,1
6.367,0
18.441,1
15.098,1
4.719,0
11.617,1
18.445,0
0.940,0
9.898,1
12.680,1
5.381,0
12.353,1
4.414,0
0.740,0
0.703,0
0.744,0
10.077,0
15.787,1
19.812,1
20.682,1
5.723,0
0.975,0
12.528,1
20.119,1
16.340,1
13.808,1
20.245,1
4.903,0
0.945,0
14.386,1
6.116,0
16.912,1
15.365,1
19.573,1
5.522,0
6.633,0
0.972,0
17.497,1
4.743,0
13.933,1
7.806,0
0.692,0
0.776,0
19.516,1
13.922,1
12.545,1
13.422,1
7.694,0
0.671,0
17.341,1
16.448,1
4.577,0
11.961,1
16.447,1
7.023,0
0.886,0
15.676,1
5.418,0
0.517,0
16.426,1
21.568,1
20.324,1
16.410,1
8.357,0
0.536,0
23.027,1
5.167,0
0.509,0
15.923,1
4.296,0
11.733,1
11.664,0
0.695,0
0.620,0
0.663,0
15.587,1
18.417,1
14.274,1
5.789,0
13.817,1
12.798,0
0.731,0
0.704,0
17.387,1
15.451,1
18.369,1
5.398,0
18.147,1
22.351,1
7.181,0
0.724,0
16.502,1
20.598,1
6.815,0
0.543,0
20.027,1
4.522,0
0.700,0
0.526,0
12.871,1
16.431,1
5.422,0
0.612,0
0.702,0
0.585,0
18.175,1
16.449,1
21.492,1
7.911,0
0.591,0
9.044,1
9.984,1
17.822,1
4.806,0
18.394,1
5.827,0
0.560,0
13.615,1
6.878,0
0.631,0
16.623,1
19.666,1
5.845,0
14.150,1
22.576,1
5.356,0
0.720,0
0.608,0
19.245,1
16.984,1
7.055,0
0.697,0
0.712,0
0.530,0
17.097,1
17.275,1
15.775,1
16.338,1
12.655,1
9.984,0
0.717,0
0.631,0
17.749,0
13.757,1
8.981,0
0.693,0
9.377,0
0.729,0
0.701,0
0.711,1
5.896,0
12.772,1
4.959,0
16.059,1
16.198,1
15.835,0
13.377,1
6.909,0
16.740,1
17.374,1
4.928,0
0.527,0
17.160,1
10.646,0
16.367,1
14.780,1
17.145,1
3.685,0
0.604,0
0.704,0
17.373,1
5.456,0
13.690,1
16.228,1
11.911,1
11.674,0
0.682,0
19.123,1
16.830,0
15.209,1
15.275,1
13.659,1
19.223,1
17.576,1
6.150,0
0.679,0
15.050,1
14.768,1
5.619,0
17.155,1
18.631,1
8.675,0
14.611,1
16.087,1
13.854,1
17.134,1
4.747,0
17.436,1
16.714,1
5.421,0
13.918,1
5.118,0
9.652,1
18.101,1
6.161,0
0.615,0
15.129,1
14.565,1
13.972,1
7.896,0
17.222,1
21.201,1
6.461,0
0.651,0
16.655,1
5.155,0
16.828,1
13.317,1
18.567,1
6.329,0
13.118,1
9.520,0
20.276,1
19.270,1
4.766,0
14.769,1
16.069,1
17.072,1
17.096,1
5.047,0
0.717,0
15.518,1
18.523,1
17.148,1
13.398,1
4.148,0
13.289,1
11.454,1
4.405,0
17.763,1
5.644,0
16.524,1
4.529,0
12.236,1
15.022,1
15.764,1
6.607,0
0.693,0
0.703,0
17.014,1
11.360,1
6.874,0
0.625,0
18.119,1
6.703,0
18.338,1
14.187,1
15.632,1
6.928,0
16.730,1
21.230,1
5.586,0
0.551,0
0.505,0
13.771,1
14.443,1
5.159,0
0.658,0
0.705,0
19.794,1
5.989,0
0.712,0
15.502,1
20.958,1
17.157,1
5.034,0
0.693,0
17.377,1
11.116,1
14.168,1
17.782,1
20.866,1
14.141,1
10.334,0
0.728,0
0.735,0
12.404,1
8.485,0
17.154,1
12.419,1
4.639,0
0.720,0
16.820,1
6.882,0
0.591,0
12.922,1
13.636,1
5.650,0
18.618,1
16.223,1
11.029,0
19.255,1
17.236,1
16.300,1
12.871,1
14.384,1
4.957,0
0.709,0
0.728,0
13.234,1
8.706,0
