RTT,Label
11.651,1
5.027,0
15.749,1
11.572,1
3.849,0
14.502,1
17.966,1
11.623,1
17.280,1
18.786,1
13.226,1
5.500,0
0.542,0
0.702,0
13.457,1
12.873,0
11.885,1
11.728,1
8.803,0
11.993,1
5.310,0
11.646,1
10.705,0
12.458,1
14.095,1
4.601,0
16.980,1
15.461,1
5.127,0
13.825,1
4.613,0
0.710,0
12.277,1
20.735,1
4.739,0
0.551,0
0.690,0
11.579,1
9.267,0
22.106,1
5.817,0
13.695,1
5.163,0
11.381,1
5.340,0
0.565,0
12.111,1
11.422,1
8.819,0
0.746,0
14.662,1
12.209,1
13.023,0
16.320,1
11.878,1
8.882,0
15.145,1
15.660,1
14.890,1
8.907,0
0.735,0
15.488,1
12.200,1
14.347,1
11.998,1
4.766,0
0.713,0
0.739,0
16.228,1
12.472,1
18.274,1
11.052,1
15.359,1
5.636,0
0.724,0
0.718,0
16.484,1
16.532,1
22.172,1
13.674,1
10.521,1
9.094,0
11.370,1
9.594,0
0.635,0
17.710,1
10.299,1
15.947,1
11.487,1
12.245,1
4.032,0
0.722,0
0.783,0
0.645,0
18.828,1
17.580,1
12.909,1
4.689,0
15.742,1
5.394,0
0.716,0
0.721,0
12.005,1
10.416,1
5.311,0
14.586,1
4.954,0
8.999,1
8.738,0
11.821,1
12.360,1
5.098,0
14.048,1
15.199,1
5.315,0
0.533,0
13.821,1
4.713,0
13.663,1
4.949,0
14.050,1
13.704,1
13.464,1
5.384,0
0.528,0
0.541,0
14.669,1
4.718,0
15.620,1
14.678,1
5.273,0
0.532,0
0.756,0
0.715,0
13.907,1
20.481,1
12.207,1
13.321,1
5.338,0
0.732,0
0.567,0
0.607,0
13.345,1
14.018,1
5.387,0
11.153,1
8.930,0
14.938,1
8.947,1
9.199,0
13.835,1
8.530,1
14.855,1
18.863,1
5.208,0
0.711,0
0.716,0
14.054,1
13.337,1
14.390,1
10.655,1
13.844,1
9.204,0
0.731,0
11.703,1
10.554,0
