RTT,Label
6.401,0
5.463,0
20.889,1
22.298,1
12.773,0
0.637,0
0.707,0
18.166,1
5.567,0
13.906,1
6.086,0
18.293,1
4.782,0
20.970,1
6.420,0
18.887,1
20.314,1
6.082,0
20.538,1
20.704,1
6.839,0
6.720,0
0.698,0
15.500,1
10.647,0
0.549,0
0.700,0
10.747,0
22.198,1
19.955,1
5.785,0
11.605,0
21.105,1
10.889,0
0.535,0
11.482,0
0.706,0
14.208,1
6.118,0
14.687,1
18.618,1
5.992,0
14.670,1
20.786,1
16.271,1
4.543,0
0.722,0
20.292,1
15.703,1
15.413,1
13.816,1
5.468,0
0.702,0
0.525,0
18.972,1
12.379,1
16.015,1
19.648,1
15.283,1
5.337,0
0.702,0
0.574,0
17.111,1
16.908,1
22.648,1
12.109,1
5.877,0
5.271,0
0.693,0
19.385,1
15.422,1
19.406,1
6.151,0
0.742,0
0.538,0
0.550,0
12.838,1
16.553,1
18.867,1
5.992,0
14.180,1
6.214,0
0.509,0
0.598,0
16.401,1
16.617,1
6.238,0
15.488,1
10.306,0
16.497,1
10.329,0
15.811,1
12.357,1
15.196,0
17.025,1
13.736,1
5.555,0
0.557,0
21.212,1
6.219,0
13.983,1
5.391,0
19.161,1
13.364,1
14.464,1
7.716,0
0.700,0
0.664,0
10.124,0
16.157,1
21.136,1
10.133,0
0.743,0
0.661,0
0.696,0
15.056,1
10.036,1
18.429,1
13.448,1
4.141,0
0.538,0
0.669,0
0.671,0
13.346,1
15.578,1
5.438,0
15.942,1
5.852,0
13.678,1
16.203,1
5.541,0
12.608,1
19.178,1
13.713,1
17.421,1
5.681,0
0.706,0
0.711,0
15.699,1
15.596,1
15.573,1
16.654,1
5.704,0
0.697,0
15.243,0
17.003,1
12.998,0
17.024,1
17.254,1
5.002,0
18.034,1
5.598,0
12.003,1
20.066,1
5.876,0
16.887,1
5.554,0
15.632,1
5.346,0
14.739,1
10.300,1
16.586,1
6.141,0
0.537,0
0.563,0
15.779,1
16.209,1
5.557,0
11.908,1
12.535,1
18.514,1
16.554,1
5.880,0
0.546,0
0.674,0
0.728,0
16.085,1
13.923,1
15.444,1
5.756,0
0.722,0
15.374,1
5.674,0
19.439,1
11.938,1
17.423,1
8.478,0
15.364,1
5.071,0
0.554,0
15.779,1
5.311,0
15.315,1
5.101,0
0.690,0
0.721,0
12.873,1
4.218,0
15.532,1
15.586,1
4.287,0
17.394,1
15.801,1
17.057,1
5.324,0
0.732,0
0.576,0
14.936,1
16.632,1
5.005,0
0.707,0
0.691,0
0.702,0
16.358,1
5.939,0
17.503,1
14.973,1
5.336,0
14.781,1
14.344,1
5.426,0
17.541,1
5.633,0
16.346,1
18.755,1
15.710,1
14.830,1
5.348,0
0.545,0
0.720,0
0.646,0
16.715,1
22.392,1
5.655,0
0.655,0
0.691,0
15.903,1
5.393,0
13.855,1
17.023,1
16.604,1
12.743,1
5.340,0
0.708,0
15.266,1
5.210,0
15.208,1
14.042,1
10.754,1
17.431,1
4.030,0
12.464,1
14.746,1
4.965,0
16.406,1
15.152,1
15.123,1
15.124,1
5.407,0
16.024,1
21.472,1
5.797,0
12.848,1
17.087,1
16.283,1
4.386,0
16.037,1
5.038,0
0.701,0
14.188,1
18.429,1
15.902,1
12.366,1
9.549,0
16.163,1
5.853,0
19.708,1
15.015,1
19.584,1
12.794,1
16.189,1
20.531,1
12.506,1
10.641,0
11.731,1
5.503,0
12.491,1
20.089,1
7.264,0
0.675,0
0.572,0
17.837,1
5.458,0
15.425,1
15.606,1
15.184,1
5.478,0
0.532,0
0.540,0
0.654,0
14.837,1
5.799,0
21.688,1
11.515,1
10.433,0
0.582,0
15.887,1
13.063,1
5.444,0
21.600,1
17.175,1
15.236,1
15.966,1
5.915,0
20.094,1
5.939,0
16.191,1
18.880,1
16.596,1
5.720,0
9.699,0
0.873,0
13.064,1
12.664,1
5.441,0
18.717,1
12.733,1
3.873,0
0.887,0
14.529,1
13.844,1
14.073,1
14.186,1
5.803,0
0.713,0
0.584,0
0.743,0
19.245,1
6.102,0
15.105,1
13.978,1
13.201,1
12.549,1
5.521,1
0.703,0
0.570,0
0.795,0
12.999,1
18.016,1
16.034,1
15.728,1
7.249,0
14.139,1
5.510,0
0.705,0
14.408,1
5.980,0
18.977,1
14.489,1
5.835,0
16.418,1
4.916,0
0.678,0
21.665,1
15.531,1
6.055,0
11.271,1
5.821,0
0.696,0
0.541,0
0.625,0
17.256,1
9.577,0
16.263,1
13.812,1
5.524,0
0.573,0
15.087,1
15.658,1
11.575,1
13.918,1
14.903,1
10.142,0
0.553,0
14.847,1
6.190,0
12.078,1
12.849,1
9.740,1
12.017,1
5.753,0
16.080,1
5.425,0
0.581,0
21.915,1
14.947,1
5.688,0
18.609,1
10.707,0
0.712,0
0.791,0
13.861,1
12.709,1
17.221,1
12.388,1
4.152,0
0.661,0
11.548,1
12.968,1
3.776,0
12.460,1
11.113,1
4.218,0
0.603,0
13.699,1
5.377,0
0.623,0
14.609,1
15.919,1
12.722,1
12.689,1
9.547,0
0.720,0
13.403,1
5.109,0
0.594,0
14.157,1
19.312,1
5.689,0
12.720,1
4.252,0
0.727,0
0.586,0
0.763,0
12.657,1
17.833,1
4.772,0
19.480,1
5.170,0
0.561,0
0.498,0
12.806,1
15.900,1
5.092,0
11.572,1
11.616,1
19.117,0
0.565,0
11.805,1
14.744,1
5.164,0
0.514,0
14.349,1
5.095,0
0.707,0
0.545,0
13.848,1
15.926,1
5.480,0
0.695,0
0.709,0
0.558,0
14.386,1
14.076,1
13.985,1
14.298,1
6.026,0
0.719,0
15.651,1
17.892,1
14.507,1
4.985,0
12.027,1
11.210,1
5.239,0
0.507,0
15.591,1
9.032,0
0.471,0
12.477,1
5.155,0
14.791,1
17.981,1
5.012,0
0.704,0
0.698,0
14.022,1
12.023,1
12.214,1
5.366,0
0.475,0
0.662,0
0.486,0
13.643,1
14.670,1
11.864,1
14.380,1
14.882,1
4.939,0
0.675,0
0.632,0
14.872,1
5.624,0
13.970,1
16.169,1
5.871,0
0.673,0
14.540,1
5.109,0
0.706,0
0.734,0
