RTT,Label
22.210,0
0.787,1
21.478,0
0.723,1
12.378,1
21.702,1
7.768,0
0.717,0
0.736,0
20.494,0
19.218,0
18.747,1
8.643,0
16.316,0
0.825,0
13.866,0
0.596,0
0.707,0
9.341,0
16.759,1
20.292,1
15.487,0
18.791,0
0.711,0
0.700,0
21.311,1
4.872,0
18.923,1
6.097,0
20.308,1
22.284,0
8.127,0
12.861,1
14.157,0
0.728,0
0.726,0
22.040,1
7.149,0
0.743,0
0.706,0
13.424,1
19.678,1
6.261,0
0.760,0
22.575,1
14.399,0
0.704,0
0.730,0
0.729,0
17.855,1
10.988,0
6.887,0
0.710,0
0.708,0
12.708,1
18.867,0
10.232,0
4.620,0
15.112,0
19.567,0
0.725,0
13.572,0
10.751,0
11.651,1
22.085,1
12.738,0
0.748,0
0.650,0
11.891,1
12.985,0
12.089,0
0.845,0
0.716,0
0.603,0
18.785,1
15.984,0
0.813,0
0.725,0
0.681,0
12.671,0
18.522,1
5.590,0
20.753,1
15.201,1
6.483,0
11.011,1
16.111,0
0.709,0
0.701,0
15.450,1
16.122,1
13.287,1
21.138,0
0.625,0
20.116,1
4.963,0
18.149,0
15.939,1
10.848,0
19.112,1
10.491,0
12.863,1
7.012,1
14.822,0
15.178,1
5.444,0
17.424,1
12.795,1
0.603,0
0.750,0
17.386,1
6.230,0
10.302,1
15.969,1
5.586,0
0.735,0
0.656,0
0.708,0
12.289,1
15.692,1
6.007,0
0.729,0
0.698,1
17.285,1
8.508,0
14.598,1
11.666,0
0.758,0
10.695,1
10.227,0
15.866,1
16.743,0
0.709,0
0.603,0
0.701,1
15.949,1
4.888,0
12.461,1
13.247,1
13.443,1
9.144,0
0.706,0
0.770,0
0.685,1
0.699,1
8.669,0
0.705,0
0.708,0
14.287,0
14.936,1
15.932,1
10.024,0
0.744,1
13.454,1
8.954,0
0.693,1
13.580,0
7.641,1
0.718,1
9.755,0
0.820,0
0.542,0
0.625,0
0.715,1
13.590,1
5.621,0
0.552,0
0.607,0
0.687,1
0.705,0
11.768,1
15.425,1
5.306,0
0.727,0
13.641,1
6.365,0
0.615,1
17.175,1
15.644,1
10.483,1
11.657,1
0.708,1
8.785,1
18.898,1
5.870,0
12.952,1
6.921,0
14.570,1
12.847,1
0.647,0
7.471,1
0.703,0
0.744,0
0.690,1
16.986,1
5.382,0
15.894,1
13.866,0
0.724,1
16.790,1
14.180,1
10.024,1
16.699,1
14.043,1
5.571,0
12.087,1
5.225,0
13.861,1
14.364,1
5.156,0
0.680,0
0.709,0
0.715,1
0.720,0
13.275,1
15.184,1
11.600,0
