Nan Num,zero received one Num,one received zero Num,Expected Error,Empirical Error,Calculated Threshold
18,43,44,0.0,0.101744186047,6.1850000000000005
13,31,50,0.0078125,0.0910852713178,8.22
0,5,8,0.0078125,0.0125968992248,6.4
0,4,9,0.0,0.0125968992248,7.275
11,6,19,0.0078125,0.0348837209302,6.32
7,5,15,0.0078125,0.0261627906977,6.855
0,3,8,0.0,0.0106589147287,7.6000000000000005
19,16,67,0.0,0.0988372093023,7.485
9,16,27,0.0078125,0.0503875968992,7.695
5,3,91,0.0,0.0959302325581,6.165
0,4,5,0.0,0.00872093023256,6.66
9,5,10,0.0,0.0232558139535,5.78
17,10,15,0.0078125,0.0406976744186,8.11
5,15,30,0.0078125,0.0484496124031,7.815
22,14,22,0.0,0.0562015503876,6.83
3,5,4,0.0,0.0116279069767,6.925
