bit, RTT
1,10.293
0,4.457
1,12.664
0,4.296
1,11.354
0,4.218
1,11.263
0,4.417
1,12.443
0,4.818
1,10.936
0,8.317
1,12.612
0,4.461
1,11.061
0,8.670
1,12.722
0,5.132
1,10.801
0,4.173
1,13.821
0,4.449
1,12.866
0,5.061
1,10.892
0,9.163
1,20.687
0,8.607
1,13.372
0,4.298
1,13.864
0,4.396
1,11.664
0,7.837
1,9.695
0,7.696
1,11.719
0,4.473
1,10.911
0,8.375
1,31.627
0,4.761
1,11.564
0,8.095
1,12.782
0,4.383
1,9.242
0,9.124
1,12.729
0,4.895
1,10.319
0,4.278
1,13.090
0,4.905
1,10.733
0,9.436
1,11.336
0,7.563
1,11.223
0,9.526
1,13.206
0,4.562
1,12.614
0,5.088
1,10.267
0,7.668
1,12.632
0,4.434
1,10.388
0,4.953
1,10.063
0,9.318
1,11.855
0,4.485
1,13.632
0,4.924
1,11.806
0,9.146
1,14.537
0,5.007
1,13.261
0,9.524
1,16.609
0,4.784
1,16.017
0,4.504
1,10.716
0,8.337
1,23.286
0,4.926
1,10.527
0,7.639
1,30.011
0,5.273
1,24.959
0,10.150
1,13.500
0,15.499
1,14.439
0,4.883
1,10.637
0,3.839
1,15.636
0,4.511
1,9.669
0,8.801
1,30.964
0,16.415
1,10.651
0,9.361
1,14.391
0,3.942
1,12.967
0,4.687
1,10.339
0,8.004
1,11.454
0,15.649
1,13.740
0,8.351
1,9.173
0,8.630
1,34.849
0,8.807
1,12.905
0,5.142
1,10.298
0,7.342
1,10.217
0,5.218
1,11.643
0,9.692
1,39.429
0,0.703
1,10.227
0,8.049
1,10.445
0,8.093
1,13.288
0,4.239
1,13.907
0,4.654
1,21.849
0,8.289
1,13.851
0,4.849
1,13.699
0,10.534
1,13.021
0,4.463
1,11.798
0,4.640
1,12.106
0,4.170
1,8.593
0,8.110
1,14.010
0,16.161
1,9.768
0,7.980
1,10.954
0,9.493
1,9.434
0,8.293
1,10.799
0,8.416
1,9.349
0,11.410
1,12.801
0,4.980
1,14.415
0,5.379
1,11.322
0,8.267
1,10.321
0,8.240
1,9.378
0,8.186
1,9.565
0,7.173
1,12.983
0,4.629
1,10.529
0,7.620
1,16.575
0,4.699
1,12.775
0,5.008
1,9.819
0,8.196
1,10.682
