bit, RTT
0,18.588
1,28.580
0,5.549
1,38.059
0,8.440
1,48.107
0,5.197
1,40.988
0,4.209
1,33.532
0,5.034
1,39.909
0,7.145
1,14.496
0,6.132
1,10.358
0,8.534
1,29.620
0,4.674
1,22.396
0,5.783
1,12.845
0,7.424
1,10.082
0,5.175
1,11.007
0,4.500
1,9.881
0,4.682
1,0.758
0,12.695
1,18.353
0,5.361
1,33.364
0,4.719
1,21.482
0,5.568
1,47.921
0,4.409
1,12.570
0,5.538
1,17.142
0,5.178
1,32.441
0,5.167
1,1.101
0,15.029
1,4.713
0,28.639
1,13.518
0,29.035
1,11.543
0,34.373
1,12.335
0,16.661
1,15.335
0,11.372
1,5.128
0,9.322
1,10.623
0,12.454
1,5.049
0,14.727
1,4.455
0,12.656
1,12.060
0,23.709
1,4.910
0,9.198
1,18.612
0,21.375
1,19.817
0,10.060
1,4.795
0,26.732
1,17.618
0,13.733
1,20.296
0,23.752
1,10.631
0,15.401
1,5.720
0,36.622
1,4.926
0,12.463
1,5.082
0,31.594
1,5.859
0,30.398
1,6.419
0,44.497
1,9.016
0,31.253
1,6.039
0,20.809
1,5.006
0,11.205
1,5.643
0,25.373
1,5.268
0,24.162
1,4.981
0,18.316
1,1.165
0,16.339
1,1.145
0,25.227
1,5.513
0,13.481
1,7.046
0,17.298
1,5.950
0,16.895
1,4.967
0,16.043
1,5.937
0,17.339
1,5.317
0,19.146
1,5.418
0,17.917
1,6.004
0,17.410
1,5.663
0,16.626
1,5.326
0,17.878
1,5.887
the calculated threshold is: 29.78
the expected error is: 0.484375
