delta_1,delta_2,Treshold,Error
1.0,1.0,8.17,0.03125
1.0,0.8642857142857143,8.045,0.0390625
1.0,0.7285714285714285,7.6850000000000005,0.015625
1.0,0.5928571428571429,7.67,0.0390625
1.0,0.45714285714285713,7.390000000000001,0.015625
1.0,0.3214285714285714,8.15,0.0234375
1.0,0.18571428571428572,8.065,0.0234375
1.0,0.05,8.555,0.03125
0.8657142857142857,1.0,9.08,0.0390625
0.8657142857142857,0.8642857142857143,8.31,0.015625
0.8657142857142857,0.7285714285714285,8.540000000000001,0.0234375
0.8657142857142857,0.5928571428571429,7.995,0.03125
0.8657142857142857,0.45714285714285713,7.945,0.0078125
0.8657142857142857,0.3214285714285714,8.645,0.0078125
0.8657142857142857,0.18571428571428572,7.6450000000000005,0.015625
0.8657142857142857,0.05,7.71,0.015625
0.7314285714285715,1.0,7.88,0.0234375
0.7314285714285715,0.8642857142857143,8.71,0.015625
0.7314285714285715,0.7285714285714285,7.505,0.0234375
0.7314285714285715,0.5928571428571429,8.0,0.046875
0.7314285714285715,0.45714285714285713,8.66,0.0
0.7314285714285715,0.3214285714285714,9.205,0.015625
0.7314285714285715,0.18571428571428572,7.345,0.0078125
0.7314285714285715,0.05,7.8950000000000005,0.0078125
0.5971428571428572,1.0,9.355,0.0078125
0.5971428571428572,0.8642857142857143,9.540000000000001,0.0078125
0.5971428571428572,0.7285714285714285,8.370000000000001,0.03125
0.5971428571428572,0.5928571428571429,8.585,0.0078125
0.5971428571428572,0.45714285714285713,8.76,0.0078125
0.5971428571428572,0.3214285714285714,8.125,0.015625
0.5971428571428572,0.18571428571428572,7.925,0.0
0.5971428571428572,0.05,8.505,0.015625
0.46285714285714286,1.0,9.16,0.0078125
0.46285714285714286,0.8642857142857143,8.6,0.0078125
0.46285714285714286,0.7285714285714285,7.57,0.015625
0.46285714285714286,0.5928571428571429,8.26,0.0078125
0.46285714285714286,0.45714285714285713,7.41,0.0078125
0.46285714285714286,0.3214285714285714,8.815,0.0
0.46285714285714286,0.18571428571428572,7.385,0.0234375
0.46285714285714286,0.05,7.915,0.015625
0.32857142857142857,1.0,8.43,0.0078125
0.32857142857142857,0.8642857142857143,8.64,0.015625
0.32857142857142857,0.7285714285714285,8.285,0.015625
0.32857142857142857,0.5928571428571429,8.435,0.0
0.32857142857142857,0.45714285714285713,7.63,0.0
0.32857142857142857,0.3214285714285714,8.34,0.0234375
0.32857142857142857,0.18571428571428572,8.64,0.0234375
0.32857142857142857,0.05,8.01,0.0078125
0.19428571428571428,1.0,8.19,0.015625
0.19428571428571428,0.8642857142857143,7.415,0.015625
0.19428571428571428,0.7285714285714285,8.24,0.0078125
0.19428571428571428,0.5928571428571429,6.57,0.0
0.19428571428571428,0.45714285714285713,8.55,0.0078125
0.19428571428571428,0.3214285714285714,8.52,0.0078125
0.19428571428571428,0.18571428571428572,7.565,0.0078125
0.19428571428571428,0.05,7.235,0.0
0.06,1.0,1.705,0.5
0.06,0.8642857142857143,2.105,0.4921875
0.06,0.7285714285714285,1.57,0.5
0.06,0.5928571428571429,2.08,0.5
0.06,0.45714285714285713,2.205,0.5
0.06,0.3214285714285714,1.825,0.4921875
0.06,0.18571428571428572,1.58,0.5
0.06,0.05,2.13,0.5
