Treshold,Error
9.0,0.1953125
13.47,0.40625
11.215,0.21875
11.47,0.3515625
11.175,0.2421875
9.295,0.1171875
11.985,0.3359375
9.475,0.09375
11.65,0.2734375
13.0,0.3984375
10.105,0.1484375
9.32,0.171875
9.905,0.1796875
8.49,0.1953125
10.34,0.1015625
11.605,0.3671875
10.355,0.21875
8.715,0.125
7.4750000000000005,0.2421875
10.835,0.265625
8.73,0.1328125
12.59,0.515625
7.8950000000000005,0.1875
6.555,0.328125
6.295,0.3671875
7.815,0.203125
11.36,0.234375
13.25,0.40625
10.465,0.1875
12.375,0.265625
10.92,0.0234375
10.72,0.0078125
