bit, RTT
1,12.256
0,10.893
1,12.196
0,11.339
1,16.459
0,8.623
1,12.987
0,10.093
1,12.759
0,9.244
1,12.006
0,4.234
1,12.394
0,8.024
1,12.231
0,9.312
1,11.653
0,8.712
1,12.280
0,5.520
1,12.796
0,7.862
1,11.519
0,8.969
1,12.515
0,11.136
1,13.346
0,16.547
1,13.101
0,6.021
1,10.855
0,5.551
1,12.722
0,4.584
1,10.853
0,19.364
1,25.079
0,5.506
1,10.188
0,8.516
1,12.660
0,10.965
1,9.552
0,7.711
1,11.427
0,8.366
1,10.091
0,7.602
1,10.457
0,3.783
1,33.533
0,4.854
1,17.631
0,4.079
1,19.786
0,4.620
1,13.111
0,17.088
1,10.586
0,27.893
1,30.604
0,10.652
1,30.362
0,28.599
1,24.491
0,34.402
1,25.131
0,36.471
1,40.551
0,12.567
1,30.609
0,29.023
1,30.850
0,17.583
1,36.744
0,16.722
1,40.041
0,33.204
1,28.494
0,25.604
1,28.403
0,14.219
1,25.133
0,28.976
1,31.902
0,28.635
1,29.804
0,34.232
1,26.398
0,28.811
1,31.535
0,26.785
1,25.945
0,25.248
1,28.788
0,40.776
1,29.977
0,21.042
1,28.818
0,21.846
1,22.599
0,25.822
1,22.520
0,18.147
1,25.092
0,29.691
1,26.711
0,15.522
1,23.261
0,20.343
1,23.936
0,16.664
1,11.260
0,18.833
1,18.119
0,18.383
1,16.927
0,12.782
1,22.008
0,10.350
1,12.941
0,11.554
1,14.030
0,10.958
1,13.604
0,10.186
1,11.483
0,12.174
